water_outlet,bearing,ambient,rotor,endwind_1,endwind_2,slotside,slotopen,activewind_1,slotbottom,activewind_2,outer_yoke,endcap,Torque,IdRef,IdFbk,IqRef,IqFbk,speed,Ud,Uq,Pele_PI
25.8,26.8,23.5,24.675,26.8,26.5,26.8,26.7,27,27.4,27.3,28.6,28.3,0.96999,-1.538536,-1.585271,2.601398,3.12244,10.11838,-0.710964,-0.037765,2.527598
25.8,26.8,23.5,24.675,26.83,26.52,26.82,26.72,27.01,27.38,27.3,28.57,28.26,2.0675,-1.369684,-1.754896,2.959185,3.842396,11.4507,0.002764,0.080452,1.217596
25.8,26.8,23.51,24.675,26.847,26.538,26.838,26.728,27.029,27.322,27.29,28.473,28.154,1.6695,-1.919151,-1.780126,3.916061,3.956817,9.260395,0.289427,0.044713,-0.439109
25.8,26.8,23.519,24.675,26.8423,26.5242,26.8142,26.6752,27.0161,27.2598,27.261,28.3757,28.0486,1.7112,-1.569571,-1.996447,1.953472,3.918734,11.12774,0.5205,0.108241,0.661784
25.8,26.8,23.5371,24.675,26.87807,26.55178,26.83278,26.65768,27.01449,27.18382,27.2249,28.25813,27.92374,1.5452,-1.339958,-0.793871,2.257738,2.27736,11.65263,0.121974,0.789838,0.945952
25.8,26.8,23.56339,24.675,26.910263,26.576602,26.849502,26.651912,27.023041,27.125438,27.20241,28.162317,27.821366,0.41398,-2.091928,-0.819105,10.43753,9.680925,8.031814,-2.972988,1.927537,5.690695
25.8,26.8,23.597051,24.675,26.8992367,26.5589418,26.8245518,26.5967208,27.0107369,27.0928942,27.192169,28.1060853,27.7392294,1.0753,-0.995897,-1.287767,1.077755,1.373516,11.16755,0.248298,0.886464,0.57822
25.8,26.8,23.6273459,24.675,26.91931303,26.56304762,26.82209662,26.57704872,27.00966321,27.08360478,27.1829521,28.09547677,27.71530646,0.098413,-0.608907,-1.242216,0.62377,1.534713,7.3111,-0.176544,0.469342,4.875769
25.8,26.8,23.66461131,24.6775,26.97738173,26.57674286,26.82988696,26.57934385,27.03869689,27.0852443,27.21465689,28.09592909,27.70377581,2.0509,-2.2727,-2.675549,3.591547,3.955243,10.47632,0.268406,-0.291871,0.714646
25.8,26.8,23.69815018,24.67725,27.01964355,26.59906857,26.83689826,26.58140946,27.0748272,27.10671987,27.2531912,28.12633618,27.72339823,1.6181,-0.95627,-0.549799,1.385637,1.414924,10.71747,-0.20036,0.973622,0.119684
25.8,26.8,23.71833516,24.674525,27.0876792,26.63916171,26.87320844,26.61326852,27.12734448,27.13604788,27.30787208,28.15370257,27.74105841,48.037,-70.82766,-70.49615,115.0022,117.6688,0,-1.697588,1.730856,465.2266
